Name	Human-GEM	Human2	Human1	Recon3D_301
arginine[s]	MAM01365e	MAM01365e	m01365s	arg_L[e]
histidine[s]	MAM02125e	MAM02125e	m02125s	his_L[e]
lysine[s]	MAM02426e	MAM02426e	m02426s	lys_L[e]
methionine[s]	MAM02471e	MAM02471e	m02471s	met_L[e]
phenylalanine[s]	MAM02724e	MAM02724e	m02724s	phe_L[e]
tryptophan[s]	MAM03089e	MAM03089e	m03089s	trp_L[e]
tyrosine[s]	MAM03101e	MAM03101e	m03101s	tyr_L[e]
alanine[s]	MAM01307e	MAM01307e	m01307s	ala_L[e]
glycine[s]	MAM01986e	MAM01986e	m01986s	gly[e]
serine[s]	MAM02896e	MAM02896e	m02896s	ser_L[e]
threonine[s]	MAM02993e	MAM02993e	m02993s	thr_L[e]
aspartate[s]	MAM01370e	MAM01370e	m01370s	asp_L[e]
glutamate[s]	MAM01974e	MAM01974e	m01974s	glu_L[e]
asparagine[s]	MAM01369e	MAM01369e	m01369s	asn_L[e]
glutamine[s]	MAM01975e	MAM01975e	m01975s	gln_L[e]
isoleucine[s]	MAM02184e	MAM02184e	m02184s	ile_L[e]
leucine[s]	MAM02360e	MAM02360e	m02360s	leu_L[e]
proline[s]	MAM02770e	MAM02770e	m02770s	pro_L[e]
valine[s]	MAM03135e	MAM03135e	m03135s	val_L[e]
cysteine[s]	MAM01628e	MAM01628e	m01628s	cys_L[e]
thiamin[s]	MAM02982e	MAM02982e	m02982s	thm[e]
hypoxanthine[s]	MAM02159e	MAM02159e	m02159s	hxan[e]
folate[s]	MAM01830e	MAM01830e	m01830s	fol[e]
biotin[s]	MAM01401e	MAM01401e	m01401s	btn[e]
pantothenate[s]	MAM02680e	MAM02680e	m02680s	pnto_R[e]
choline[s]	MAM01513e	MAM01513e	m01513s	chol[e]
inositol[s]	MAM02171e	MAM02171e	m02171s	inost[e]
nicotinamide[s]	MAM02583e	MAM02583e	m02583s	ncam[e]
pyridoxine[s]	MAM02817e	MAM02817e	m02817s	pydxn[e]
riboflavin[s]	MAM02842e	MAM02842e	m02842s	ribflv[e]
thymidine[s]	MAM02996e	MAM02996e	m02996s	thymd[e]
aquacob(III)alamin[s]	MAM01361e	MAM01361e	m01361s	aqcobal[e]
lipoic acid[s]	MAM02394e	MAM02394e	m02394s	lipoate[e]
glucose[s]	MAM01965e	MAM01965e	m01965s	glc_D[e]
sulfate[s]	MAM02946e	MAM02946e	m02946s	so4[e]
linoleate[s]	MAM02387e	MAM02387e	m02387s	lnlc[e]
linolenate[s]	MAM02389e	MAM02389e	m02389s	lnlnca[e]
O2[s]	MAM02630e	MAM02630e	m02630s	o2[e]
H2O[s]	MAM02040e	MAM02040e	m02040s	h2o[e]
retinoate[s]	MAM02833e	MAM02833e	m02833s	retn[e]
Fe2+[s]	MAM01821e	MAM01821e	m01821s	fe2[e]
Pi[s]	MAM02751e	MAM02751e	m02751s	pi[e]
alpha-tocopherol[s]	MAM01327e	MAM01327e	m01327s	avite1[e]
gamma-tocopherol[s]	MAM01935e	MAM01935e	m01935s	yvite[e]
