Met_id	Met_name	type
MAM00648bc	beta-hydroxybutyrate	Up
MAM00952bc	4-acetamidobutanoate	Up
MAM01004bc	3-(4-hydroxyphenyl)lactate	Up
MAM01327bc	alpha-tocopherol	Up
MAM01362bc	arachidonic acid	Up
MAM01370bc	aspartate	Down
MAM01450bc	cholesterol	Up
MAM01513bc	choline	Up
MAM01588bc	L-citrulline	Up
MAM01619bc	creatine	Up
MAM01628bc	cysteine	Up
MAM01659bc	dehydroepiandrosterone sulphate	Down
MAM02159bc	hypoxanthine	Up
MAM02170bc	inosine	Up
MAM02171bc	myo-inositol	Up
MAM02173bc	inositol 1-phosphate	Down
MAM02338bc	arabitol	Up
MAM02369bc	leukotriene E4	Up
MAM02403bc	lactate	Up
MAM02494bc	myristoleate	Down
MAM02738bc	choline phosphate	Down
MAM02819bc	pyruvate	Up
MAM02841bc	ribitol	Up
MAM02896bc	serine	Down
MAM02938bc	stearate	Up
MAM03121bc	urea	Up
MAM03123bc	uridine	Up
MAM03148bc	xanthine	Up
MAM00648u	beta-hydroxybutyrate	Up
MAM00727u	Dihydroxymandelic acid (DHMA)	Down
MAM01307u	alanine	Up
MAM01368u	ascorbate	Up
