Organ	AdultMale	ElderlyMale	AdultFemale	ElderlyFemale	Fetus	Harvey	Harvetta
Adipocytes	7992.0	8015.0	7978.0	7997.0	7972.0	1967.0	1974.0
Agland	7966.0	7962.0	7975.0	8000.0	7924.0	2754.0	2626.0
Brain	7830.0	7799.0	7844.0	7832.0	7986.0	3603.0	3603.0
Breast			8125.0	8118.0			2146.0
Cervix			8159.0	7919.0			1915.0
Colon	8061.0	8021.0	8104.0	8080.0	8062.0	6651.0	6622.0
Heart	7519.0	7528.0	7532.0	7540.0	8012.0	3422.0	3426.0
Kidney	8234.0	8229.0	8240.0	8292.0	8136.0	9975.0	9971.0
Liver	8074.0	8061.0	8138.0	8060.0	8615.0	7489.0	7499.0
Lung	8011.0	8047.0	8025.0	8044.0	8068.0	3825.0	3815.0
Muscle	7266.0	7355.0	7299.0	7372.0	7919.0	3079.0	3097.0
Ovary			7934.0	7894.0			2105.0
Pancreas	7784.0	7789.0	7741.0	7795.0	8024.0	3362.0	3335.0
Prostate	8060.0	8058.0				2462.0	
Scord	7862.0	7849.0	7773.0	7848.0	7786.0	1841.0	1767.0
sIEC	8273.0	8269.0	8271.0	8266.0	8302.0	2157.0	2157.0
Skin	8025.0	8044.0	8003.0	8049.0	7999.0	2787.0	2813.0
Spleen	7907.0	7912.0	7911.0	7930.0	8096.0	2045.0	1999.0
Stomach	8047.0	8006.0	8026.0	8017.0	8177.0	2269.0	2281.0
Testis	8021.0	8034.0				2880.0	
Thyroidgland	7996.0	8043.0	7988.0	8023.0	7992.0	2172.0	2138.0
Urinarybladder	8082.0	7756.0	8023.0	7853.0	7990.0	2167.0	2165.0
Uterus			7951.0	7923.0			2134.0
